年 year
传闻 hearsay
传闻 rumor
饲养 breeding
吞吐量 throughput
气压 pressure
战区 theatre
微波 microwave
液体 liquids
液体 fluid
液体 liquid
回顾 recalling
回顾 recap
住宿 lodging
住宿 accommodation
住宿 accommodations
联播 hookup
信念 faith
信念 conviction
枪击 shooting
荷马 homer
落地 landing
墓碑 headstone
墓碑 tombstone
国歌 anthem
弹头 warhead
弹头 bullet
弹头 warheads
内心 inside
内心 inner
新鲜 fresh
畏 angst
沼泽 swamp
沼泽 marsh
沼泽 bog
直立 upright
围攻 siege
沐 mu
表情 expression
表情 emoji
幻影 phantom
幻影 mirage
氟化 fluoride
遥远 faraway
遥远 distant
躲避 dodging
各式 assortment
各式 assorted
塑像 statues
塑像 statue
牛肉 beef
楼梯 stairs
楼梯 staircase
狩猎 hunt
狩猎 hunting
专科 specialties
稳 steady
等候 waiting
会费 dues
下属 subordinates
末日 doomsday
动机 motive
动机 motivation
动机 motives
通告 circulars
轨迹 track
轨迹 trajectory
轨迹 trail
轨迹 locus
风景 scenery
风景 landscape
滴 drop
滴 drip
滴 drops
昏迷 coma
微型 miniature
微型 micro
海豹 seals
海豹 seal
楼上 upstairs
大厅 hall
大厅 lobby
神庙 temple
界限 boundaries
斯德哥尔摩 stockholm
岩手 iwate
日志 journal
日志 log
喊 yell
喊 shout
基准 baseline
基准 benchmark
基准 benchmarks
基准 baselines
基准 benchmarking
花瓣 petal
花瓣 petals
蜥蜴 lizards
蜥蜴 lizard
袍 robes
总和 sum
石窟 grottoes
著作权 authorship
著作权 copyright
热心 enthusiasm
热心 enthusiastic
安倍 abe
放射 radiology
放射 radioactivity
放射 radiation
放射 radioactive
小熊 cubs
开支 expenses
平板 slab
平板 tablets
平板 tablet
摩擦 rub
摩擦 frictions
摩擦 rubbing
摩擦 friction
敌方 enemy
理工学院 polytechnics
理工学院 polytechnic
繁荣 prosperity
繁荣 boom
繁荣 prosperous
文宗 wenzong
检察 prosecutorial
轮胎 tires
轮胎 tyres
轮胎 tyre
轮胎 tire
延期 extensions
延期 extension
蝉 cicada
肺炎 pneumonia
波长 wavelength
波长 wavelengths
亲属 relatives
禁令 injunction
衍生物 derivatives
扩散 diffusion
扩散 proliferation
酱 sauce
二手 secondhand
珠宝 jewels
珠宝 jewelry
珠宝 jewellery
斧 ax
斧 axe
尼加拉瓜 nicaragua
非凡 extraordinary
焊接 weld
焊接 welded
焊接 welding
海山 seamounts
国防军 idf
奖学金 scholarships
奖学金 scholarship
侦查 recon
侦查 reconnaissance
视讯 video
阻碍 obstruction
侄子 nephew
坟 grave
资本主义 capitalist
资本主义 capitalism
辛苦 hard
有毒 toxic
有毒 poisonous
排水 drain
排水 drainage
奇异 exotic
奇异 singular
雉 pheasant
慢性 chronic
马达 motors
马达 motor
光荣 glorious
光荣 glory
胡椒 pepper
自信 confident
自信 confidence
边疆 frontiers
边疆 frontier
殖民者 colonists
染色体 chromosomes
染色体 chromosome
枕 pillow
寺庙 temple
寺庙 temples
相交 intersections
相交 intersect
哦 oh
铀 uranium
伴侣 partner
伴侣 companion
电荷 charge
厨房 kitchen
温柔 tender
温柔 gentle
绅士 gentleman
潮汐 tide
潮汐 tidal
潮汐 tides
事变 incident
陀螺 gyro
抒情 lyrical
爱丽丝 alice
申诉 complaints
申诉 complaint
蔓延 sprawl
蔓延 spreading
蔓延 spread
漂流 drifting
灯塔 lighthouse
灯塔 beacon
加勒比 caribbean
陡 steep
无名 nameless
血腥 bloody
粉碎 smash
丑闻 scandal
插图 illustrations
骨头 bones
骨头 bone
经理人 manager
堡垒 bastion
堡垒 fortress
堡垒 fort
工资 salary
工资 wage
工资 wages
工资 salaries
宪兵 gendarmerie
宪兵 gendarmes
犀牛 rhinoceros
犀牛 rhinos
犀牛 rhino
思想家 thinker
思想家 thinkers
乘车 ride
寂寞 loneliness
寂寞 lonely
丛 bundle
花卉 floral
花卉 flowers
庭院 courtyard
庭院 yard
枢纽 hubs
枢纽 hub
仙女 fairy
苏维埃 soviets
苏维埃 soviet
烟花 fireworks
烟花 firework
筋 tendons
安藤 ando
和谐 harmony
撤消 revoke
室外 outside
室外 outdoor
室外 outdoors
鹅 goose
鹅 geese
刺杀 assassination
弹劾 impeach
弹劾 impeachment
坐标 coordinate
坐标 coordinates
政协 cppcc
永恒 eternity
永恒 timeless
永恒 eternal
津贴 stipend
津贴 allowances
津贴 allowance
破解 crack
甲壳类 crustaceans
卷 roll
卡车 truck
卡车 trucks
麻雀 sparrows
麻雀 sparrow
阻力 drag
阻力 resistance
关怀 caring
沙拉 salad
耳朵 ear
耳朵 ears
熔岩 lava
启发 inspired
卢森堡 luxembourg
疼痛 pain
鸥 gull
占有 possession
独家 exclusive
冥王星 pluto
停火 ceasefire
约束 constraint
掩护 cover
钝 blunt
复原 restoration
复原 recovery
真主 allah
清洁 cleanliness
清洁 cleaning
清洁 clean
长寿 longevity
友谊 friendship
多元化 diversification
多元化 plurality
多元化 diversity
多元化 diversify
多元化 pluralism
友善 friendly
山麓 piedmont
山麓 foothills
甜蜜 sweet
瘦 skinny
瘦 slim
瘦 lean
瘦 thin
学界 academia
甲烷 methane
优质 quality
书法 calligraphy
船员 crew
前卫 vanguard
稀少 scarce
稀少 sparse
山羊 goat
山羊 goats
丢 throw
雪梨 sydney
财团 consortium
批量 bulk
凤蝶 papilio
消化 digested
消化 digestion
消化 digestive
消化 digest
成效 effectiveness
树木 tree
树木 trees
陶器 pottery
租赁 leasing
租赁 leasehold
租赁 leases
租赁 rental
租赁 lease
凯撒 caesar
马达加斯加 madagascar
告别 farewell
胖 fat
狭窄 stenosis
狭窄 narrow
裁决 verdict
裁决 ruling
无力 powerless
节省 savings
节省 saving
砖 bricks
砖 brick
利率 rate
高大 tall
水下 underwater
扑 bashing
意向 intentions
意向 inclination
意向 intent
意向 intention
压制 repression
压制 suppress
压制 suppressing
压制 suppression
进度 progress
重温 revisit
重温 reliving
重温 relive
指称 allegations
指称 allegation
哺乳动物 mammal
哺乳动物 mammals
爷爷 grandpa
突袭 raid
突袭 raids
情侣 couples
情侣 couple
情侣 lovers
交接 handover
示范 model
示范 demonstration
示范 demo
保全 preserve
保全 preservation
宫殿 palace
智力 intelligence
智力 intellectual
爆破 blasting
羽田 haneda
渡口 ferry
纠纷 disputes
纠纷 dispute
发光 shine
发光 glowing
发光 luminous
发光 glow
结盟 alliance
阿拉伯语 arabic
异议 objection
系数 coefficient
系数 coefficients
抱怨 complaining
抱怨 complain
穷 poor
投球 pitch
银色 silver
武林 wulin
鞘 sheath
小牛 calf
访谈 interview
访谈 interviews
口味 flavors
口味 tastes
宗派 sectarian
扬州 yangzhou
就职 inauguration
人性 humanity
喷发 venting
喷发 eruption
喷发 eruptions
饶 rao
失误 mistakes
溶解 dissolving
溶解 dissolved
溶解 dissolve
公报 communique
公报 communiqué
公报 communiqués
主观 subjective
主观 subjectivity
桃源 taoyuan
天平 scales
外国人 aliens
外国人 foreigner
外国人 foreigners
反感 aversion
反感 disgusted
神仙 fairy
李子 plum
李子 plums
肠 sausage
肠 intestine
肠 bowel
肠 intestines
碱 alkali
碱 alkaline
石板 slate
石板 tablet
秋山 akiyama
液晶 lcd
福尔摩斯 holmes
君主制 monarchy
野心 ambitions
野心 ambitious
野心 ambition
别墅 villa
别墅 villas
幅度 ranges
印地安人 indians
笼 cage
监管 supervision
显示器 display
显示器 monitors
有害 harmful
银河系 galaxy
罚款 fines
葡萄糖 glucose
锂 lithium
千秋 chiaki
剑桥 cambridge
诅咒 curse
达拉斯 dallas
徒步 hike
草莓 strawberry
草莓 strawberries
奶奶 grandma
蚊 mosquito
补偿 compensation
补偿 compensatory
补偿 reparations
教父 godfather
蝙蝠侠 batman
轻微 slight
肽 peptide
厕所 toilet
厕所 bathroom
叶子 leaves
叶子 leaf
叶子 yoko
激进 radical
乙醇 ethanol
有罪 guilty
大冢 otsuka
礼拜 worship
样式 styles
样式 style
迁徙 migrating
迁徙 migration
迁徙 migrations
交响乐团 symphony
抄袭 plagiarism
海伦 helen
萤 ying
读音 pronunciation
圣殿 basilica
圣殿 temple
空格 spaces
邮票 stamp
邮票 stamps
多瑙河 danube
阿尔及利亚 algeria
骚扰 harassment
骚扰 harassing
冷却 cooling
摄影机 camera
拜访 visiting
皇宫 palace
法老 pharaoh
微小 tiny
出版商 publisher
出版商 publishers
精美 exquisite
精美 beautifully
温和 gentle
温和 moderation
温和 moderate
温和 mild
公升 litre
公升 liters
公升 liter
公升 litres
相对论 relativism
相对论 relativity
对面 opposite
香料 spices
香料 spice
悼念 tribute
悼念 tributes
悼念 mourning
辣椒 chilli
辣椒 pepper
赌场 casinos
赌场 casino
国徽 emblem
悲剧 tragic
悲剧 tragedy
锁定 lock
锁定 locked
租金 rentals
租金 rental
租金 rent
租金 rents
光辉 radiance
光辉 shining
喀麦隆 cameroon
误解 misconception
误解 misunderstanding
误解 misunderstandings
误解 misunderstood
弯曲 curved
弯曲 bend
温暖 warm
温暖 warmth
解剖 anatomy
解剖 dissection
解剖 autopsy
神像 gato
手套 gloves
手套 mittens
手套 glove
硬币 coins
硬币 coin
缆车 gondola
朝代 dynasty
你好 hello
耕地 cropland
皂 soap
承包商 contractors
承包商 contractor
草坪 lawn
草坪 lawns
方舟 ark
编译 compile
编译 compiled
编译 compilation
编译 compiling
铅 lead
鞭 whip
锥 cone
界定 define
界定 defining
气温 temperature
气温 temperatures
概括 generalization
日光 daylight
马赛 marseille
弹性 flexible
弹性 flexibility
弹性 elasticity
弹性 elastic
弹性 flex
长老 elder
长老 elders
野牛 buffalo
野牛 bison
特许 concessions
特许 concession
盾牌 shield
盾牌 shields
走私 smuggling
走私 smuggled
走私 smuggle
纪念馆 memorial
戒指 ring
戒指 rings
祭司 priest
握手 handshake
酒井 sakai
乘法 multiplication
绘图 mapping
绘图 drawings
绘图 graphics
绘图 drawing
调任 reassignment
乙酸 acetate
大屠杀 massacre
大屠杀 holocaust
食堂 canteen
食堂 cafeteria
劫持 abduction
劫持 hijack
劫持 hijacking
誓 vow
誓 oath
基座 pedestal
损坏 corrupted
损坏 damaged
损坏 damage
损坏 damages
专长 niche
专长 speciality
专长 specialty
专长 specialties
专长 expertise
罗素 russell
基底 substrate
基底 basement
骨架 skeleton
骨架 framing
更正 corrections
更正 correction
特种部队 swat
音速 sonic
叻 lat
照射 exposures
密西西比州 mississippi
标语 slogans
标语 slogan
摩天大楼 skyscraper
摩天大楼 skyscrapers
双边 bilaterally
双边 bilateral
迷失 lost
警务 policing
警务 police
仙女座 andromedae
仙女座 andromeda
橘子 orange
橘子 oranges
川口 kawaguchi
死亡率 mortality
歌声 singing
散射 scattering
散射 scatter
症候群 syndrome
布加勒斯特 bucharest
污水 effluents
污水 effluent
污水 sewage
污水 sewerage
存款 deposit
存款 deposits
独裁 autocracy
独裁 dictatorship
独裁 dictatorial
朝仓 asakura
宫廷 palace
想象 imagination
想象 imagine
祈祷 pray
祈祷 prayer
祈祷 praying
祈祷 prayers
相容 compatible
相容 compatibility
厨师 chef
厨师 cook
天王星 uranus
王冠 crown
王冠 crowns
营养 nutrition
营养 nourishment
营养 nutritional
营养 nutrients
爱媛 ehime
凝聚 cohesion
橡胶 rubber
教义 teachings
教义 creed
教义 doctrine
扳机 trigger
探险 expeditions
探险 adventure
探险 expedition
区块 blocks
区块 block
招牌 signboard
招牌 signboards
亚热带 subtropical
地道 tunnel
地道 tunnels
所罗门 solomon
腕 wrist
附上 attach
附上 enclosed
架次 sorties
机长 captain
声援 solidarity
核子 nuclear
残余 remnant
茎 stem
雨林 rainforests
雨林 rainforest
废弃 abandonment
废弃 abandoned
检视 viewing
检视 view
学说 doctrines
学说 doctrine
大提琴 cello
加热 heat
加热 heating
加热 heated
还原 restore
还原 revert
暴风 storm
巴顿 patton
华沙 warsaw
诱惑 seduction
诱惑 temptation
扫描 scanning
扫描 scans
扫描 scan
法典 codex
壶 pot
壶 kettle
壶 pots
壶 jug
电报 telegram
电报 telegraph
蒸 steaming
蒸 steamed
升降机 lifts
升降机 elevator
机密 confidential
城墙 walls
芭蕾舞 ballet
诺曼 norman
环礁 atoll
散布 scatter
斐济 fiji
潜在 potential
呼叫 call
呼叫 calling
硝酸 nitrate
嵌入 embedded
嵌入 embedding
出血 bleeding
出血 bleed
烤 bake
烤 roast
口腔 mouth
口腔 oral
港湾 harbor
港湾 harbours
港湾 harbour
时钟 clocks
时钟 clock
牵引 traction
滑翔 gliding
滑翔 glide
论点 arguments
论点 argument
菊池 kikuchi
左边 left
勇气 courage
喵 meow
天线 antennae
天线 antenna
绝望 despair
绝望 desperate
绝望 desperation
摩纳哥 monaco
格言 motto
格言 maxim
腐 rot
甘肃 gansu
伏特 volt
敌对 hostility
敌对 hostile
卡宾枪 carbine
出处 origin
出处 provenance
电磁 electromagnetic
疯 crazy
金子 gold
赢 win
开除 dismissal
灾害 disasters
灾害 disaster
持久 durable
持久 enduring
持久 lasting
永久性 permanence
字元 character
字元 characters
晚餐 dinner
晚餐 supper
豆腐 tofu
捐助 donations
山茶 camellia
湿地 wetlands
湿地 wetland
猎物 prey
东正教 orthodoxy
东正教 orthodox
燕子 swallow
燕子 swallows
邻居 neighbors
邻居 neighbours
邻居 neighbor
会计师 accountants
会计师 accountant
椭圆 oval
椭圆 ellipse
椭圆 elliptical
追逐 pursuit
追逐 chase
君士坦丁 constantine
美式足球 football
天然气 gas
方块 cubes
方块 cube
方块 square
方块 squares
均衡 balanced
均衡 balance
均衡 balancing
均衡 equalizing
均衡 equilibrium
扫 sweeping
扫 sweep
丛林 jungle
庆典 celebration
藏文 tibetan
色素 pigment
宣教 dawa
膝 knee
膝 knees
保管 safekeeping
保管 custody
院系 faculties
湖畔 lakeside
省长 prefect
省长 governor
上官 shangguan
粗糙 rough
粗糙 coarse
激情 passionate
激情 passion
擦音 fricative
珍贵 precious
导引 homing
河床 riverbed
严厉 harsh
门票 tickets
门票 ticket
长春 changchun
通航 navigable
毒素 toxin
毒素 toxins
轿车 sedan
轿车 limousine
轿车 limo
俄亥俄 ohio
狮子座 leo
经济学家 economist
经济学家 economists
夔 kui
输送 conveyor
约瑟 joseph
爱心 caring
约旦 jordan
赦免 pardons
性行为 sexuality
性行为 sex
地下室 basement
昨天 yesterday
兄妹 siblings
应对 coping
佛法 dharma
详情 detail
详情 details
详情 particulars
生殖 reproductive
生殖 reproduction
生殖 procreation
十个 ten
金石 lazuli
交配 mate
交配 mating
小川 ogawa
冰球 hockey
投射 projection
汉城 seoul
药用 medicinal
酸性 acidic
酸性 acid
酸性 acidity
展望 foresight
展望 outlook
展望 vision
多明尼加 dominican
周年纪念 anniversary
世系 lineage
世系 descent
猴子 monkey
抬 lift
可信 credible
欧文 owen
欧文 irving
俄文 russian
基层 grassroots
揭示 revealing
揭示 reveal
揭示 reveals
反驳 rebuttal
反驳 rebut
反驳 refute
抨击 bashing
前景 prospect
前景 foreground
前景 prospects
妄想 paranoid
妄想 delusion
妄想 paranoia
妄想 delusional
成年人 adult
成年人 adults
冬青 holly
空前 unprecedented
大炮 cannon
大炮 artillery
明智 wise
抽签 draw
椅 chairs
椅 chair
圣人 saints
圣人 saint
阿瑟 arthur
捕获 capture
捕获 capturing
捕获 captures
听众 listener
听众 listeners
蒜 garlic
居所 residence
优点 merits
优点 advantages
优点 advantage
思维 thinking
计程车 taxi
布鲁塞尔 brussels
归还 restitution
失业 unemployed
失业 unemployment
砷 arsenic
野生动物 wildlife
天花 smallpox
水路 waterway
水路 waterways
昂贵 expensive
大麻 cannabis
大麻 marijuana
大麻 weed
安康 ankang
可疑 suspicious
小丑 joker
小丑 clown
抗生素 antibiotics
抗生素 antibiotic
驻扎 stationing
专营 franchises
专营 franchise
关岛 guam
字面 literal
纷争 strife
自转 rotation
大通 chase
怪人 weirdo
破碎 broken
破碎 shattered
语气 tone
老年 older
隔离 isolation
隔离 quarantine
隔离 segregation
隔离 isolated
砸 smash
砸 smashing
生病 ill
生病 sick
中位数 median
摔跤 wrestle
摔跤 wrestling
高尔夫球 golf
证书 certificates
证书 certificate
济南 jinan
山脊 ridge
恶作剧 mischief
恶作剧 prank
布局 layouts
布局 layout
日产 nissan
拳击 boxing
青蛙 frogs
青蛙 frog
面板 panel
高效 efficient
高效 efficiently
探险家 explorer
探险家 explorers
拖延 delay
拖延 delays
拖延 procrastination
伴随 accompany
伴随 accompanying
骨灰 ashes
安息 rip
预留 reserved
震撼 shook
柿 persimmon
抢救 salvage
商家 merchant
商家 merchants
执照 licences
执照 licenses
执照 licence
执照 license
烦恼 troubles
烦恼 annoyed
鲍威尔 powell
脊椎动物 vertebrates
混合物 mixture
混合物 mixtures
粉红色 pink
军营 barracks
先例 precedent
先例 precedents
颈部 neck
脆弱 fragile
脆弱 vulnerable
定制 customize
定制 customized
定制 customization
定制 custom
火花 sparks
火花 sparkles
火花 spark
脉冲 pulses
脉冲 pulse
莽 mang
电器 appliance
电器 appliances
客房 rooms
协和 concord
伸展 stretch
餐饮 dining
餐饮 catering
亚马逊 amazon
微弱 faint
眼泪 tear
眼泪 tears
特赦 amnesty
电影院 cinemas
电影院 theater
电影院 cinema
休假 leave
海牙 hague
口音 accent
领导者 leader
领导者 leaders
言语 words
肢 limb
肢 limbs
王座 throne
拆解 dismantling
绥 tuy
容忍 toleration
容忍 tolerance
容忍 tolerated
四重奏 quartet
州际公路 interstate
核糖 ribose
偏好 preference
偏好 preferred
偏好 preferences
糖果 sweets
糖果 candy
山寨 cottage
扰动 perturbed
扰动 disturbance
扰动 disturbances
利润 profit
利润 profitability
利润 profits
范例 paradigm
范例 examples
范例 example
弊 cons
施政 governance
切换 toggle
切换 switch
切换 switching
琮 cong
瘟疫 pestilence
瘟疫 plague
蚜 aphid
公关 pr
公关 publicist
捍卫 defend
捍卫 defending
海边 seaside
奔跑 running
括号 bracket
括号 brackets
门口 doorway
震惊 shocking
震惊 shock
震惊 shocked
货柜 container
货柜 containers
协作 collaborate
协作 collaborative
协作 collaborations
协作 collaboration
邮件 mail
无视 ignore
无视 disregard
无视 ignoring
代理人 proxies
代理人 agents
代理人 proxy
代理人 agent
材质 material
吕宋 luzon
美味 tasty
美味 yummy
美味 delicious
亏损 loss
亏损 losses
亏损 deficit
熔 melt
口袋 pocket
口袋 pockets
蜜蜂 bees
蜜蜂 bee
吸入 inhaling
吸入 inhale
吸入 inhalation
瑜伽 yoga
安第斯山脉 andes
硫磺 sulfur
硫磺 sulphur
快艇 speedboats
快艇 speedboat
茉莉 molly
疗法 therapy
疗法 therapies
包机 chartered
包机 charters
注意力 attention
狐狸 fox
石灰岩 limestone
闰 leap
站立 standing
站立 stand
鼓吹 advocate
鼓吹 advocating
鼓吹 preach
吞噬 devouring
风车 windmill
风车 windmills
印度支那 indochina
同化 assimilate
同化 assimilated
同化 assimilation
对峙 confrontation
对峙 standoff
常年 perennial
锅 pot
锅 pots
锅 wok
职责 duty
职责 duties
孵化 incubation
孵化 hatched
孵化 hatching
孵化 hatch
大连 dalian
文艺复兴 renaissance
忠诚 loyal
忠诚 loyalty
忠诚 faithful
祖国 motherland
祖国 homeland
祖国 fatherland
休士顿 houston
舍利 cheri
供电 electricity
高祖 gaozu
四肢 limbs
莎莉 sally
视窗 windows
视窗 window
抗原 antigen
抗原 antigens
老化 aging
老化 ageing
多哈 doha
守护者 guardian
守护者 guardians
经纪人 broker
发育 developmental
枪口 muzzle
仇恨 hatred
仇恨 hate
矮人 dwarf
琵琶 pipa
不规则 irregular
菩提 bodhi
稳定性 stability
混沌 chaos
钥匙 key
世袭 hereditary
樱桃 cherry
樱桃 cherries
执事 deacon
哀悼 condolences
哀悼 mourning
摩托车 motorbike
摩托车 motorcycle
摩托车 motorcycles
加重 aggravated
加重 aggravating
地雷 landmines
地雷 mines
大亨 mogul
大亨 tycoon
安慰 comfort
安慰 comforting
空手道 karate
干燥 dry
干燥 drying
点数 credits
点数 points
警示 alerts
警示 alert
土佐 tosa
潜力 potential
潜力 potentials
开垦 reclamation
劳伦斯 lawrence
班级 classes
班级 class
长年 perennial
低温 hypothermia
低温 cryogenic
奥斯汀 austin
吉野 yoshino
推算 extrapolation
送出 send
管理者 manager
管理者 managers
哈桑 hassan
委派 assignment
卸 unloading
聚焦 focusing
聚焦 focus
全景 panorama
佐贺 saga
后宫 harem
佛罗里达 florida
误导 misdirection
误导 misleading
误导 misguided
工地 site
比丘 picchu
特质 trait
肾 kidneys
肾 renal
肾 kidney
波恩 bonn
回忆录 memoirs
回忆录 memoir
钩 hook
钩 hooks
大修 overhaul
触发 trigger
触发 triggering
触发 triggered
触发 triggers
仁爱 benevolence
未婚 unmarried
香水 fragrances
香水 fragrance
香水 perfume
美式 american
诊所 clinics
诊所 clinic
大胆 bold
胚胎 embryo
胚胎 embryonic
胚胎 embryos
感知 perception
感知 perceive
感知 perceptions
违规 violation
违规 breach
钙 calcium
民主化 democratization
民主化 democratisation
关节 joint
关节 joints
淡出 fade
煤矿 coal
宣扬 preach
学期 semester
学期 term
占卜 divination
官司 lawsuit
侵蚀 encroachment
侵蚀 erosion
后勤 logistics
后勤 logistic
后勤 logistical
固体 solid
固体 solids
寄宿 boarding
寄宿 residential
鼻子 nose
芝麻 sesame
瓷器 porcelain
勐 mueang
谍 spy
订单 order
订单 orders
特权 privilege
特权 privileges
渔民 fishermen
渔民 fishers
渔民 fisherman
征求 soliciting
水解 hydrolysis
痕迹 traces
朝阳 chaoyang
柏木 kashiwagi
猩猩 gorilla
猩猩 orangutan
猩猩 ape
常任 permanency
证人 witnesses
证人 witness
日内瓦 geneva
梅森 mason
本体 ontology
女巫 witch
拥抱 hug
拥抱 embrace
拥抱 cuddles
拥抱 hugs
西边 west
滑行 glide
千伏 kv
出国 abroad
阵列 arrays
阵列 array
耐心 patience
纺织 textile
纺织 textiles
潜水 diving
潜水 dive
合法性 legitimacy
合法性 legality
合法性 lawfulness
窦 sinus
窦 dog
窦 dou
扰乱 disruption
同源 homologous
事前 beforehand
吸引力 attractiveness
吸引力 attraction
吸引力 appealing
吸引力 attractive
甘蔗 sugarcane
甘蔗 cane
哭泣 cry
哭泣 crying
赌博 gambling
赌博 gamble
功效 efficacy
成型 forming
成型 molding
肿瘤 tumor
肿瘤 tumour
纪律 discipline
纪律 disciplines
酷刑 torture
口服 oral
广东话 cantonese
严谨 strict
三叉戟 trident
展品 exhibit
展品 exhibits
仰光 yangon
豁免 exemption
豁免 immunity
豁免 exemptions
豁免 immunities
南昌市 nanchang
反潜 asw
史诗 epic
推断 extrapolating
推断 extrapolation
推断 inference
推断 inferred
花絮 trivia
暹罗 siamese
暹罗 siam
铸造 casting
淮海 huaihai
删去 delete
矿物 minerals
矿物 mineral
麻醉 anesthetic
麻醉 anaesthetic
麻醉 anesthesia
加深 deepening
加深 deepen
加深 deepened
加深 deepens
摄政 regent
褶 pleated
芳香 aromatic
芳香 fragrance
芳香 aroma
民谣 ballad
民谣 folk
明文 explicit
服务业 services
守卫 guards
守卫 guard
气球 balloon
气球 balloons
篮板 reb
篮板 rebounds
遣返 repatriation
伦理 ethical
伦理 ethics
一幕 scene
摸 touch
推论 corollary
推论 inference
推论 inferences
投放 delivery
神学院 seminary
宪政 constitutional
沈阳 shenyang
艾玛 emma
类比 analogies
类比 analogous
类比 analog
类比 analogy
忠孝 zhongxiao
雅加达 jakarta
通宵 overnight
对照 contrast
膨胀 expansion
营利 profit
营利 profitability
良心 conscience
位移 displacement
招标 tender
招标 tendering
招标 solicitation
传道 preach
波罗的海 baltic
雨伞 umbrella
雨伞 umbrellas
花生 peanut
花生 peanuts
闪光 flash
闪光 glitter
和弦 chord
和弦 chords
子爵 vicomte
子爵 viscount
削减 cutbacks
削减 cutting
削减 cut
削减 cuts
视察 inspections
视察 inspection
发型 hair
发型 hairstyle
里根 reagan
叛变 mutiny
残酷 cruel
残酷 cruelty
残酷 brutal
牧场 pasture
牧场 ranch
单身 single
大自然 nature
犀 rhinoceros
九个 nine
雇用 hire
雇用 hiring
悲伤 sadness
悲伤 sad
僧侣 monk
僧侣 monks
拂 whisk
情境 situational
恐吓 intimidation
没收 forfeiture
没收 confiscation
没收 confiscated
粉红 pink
反向 reverse
北九州 kitakyushu
分身 alters
原油 crude
浴 bathing
浴 bath
感恩 gratitude
感恩 thankful
感恩 grateful
感恩 thanksgiving
生气 angry
星期天 sundays
星期天 sunday
工房 kobo
尘埃 dust
尘埃 fallout
平滑 smooth
平滑 smoothing
加速器 accelerator
弩 crossbow
侧面 flank
穆尔 moore
薄弱 weakness
薄弱 weak
指明 specify
诸葛 zhuge
谎言 lie
谎言 lies
宙斯 zeus
越共 vietcong
野兽 beast
填充 padding
填充 filling
填充 fill
起因 causes
水分 moisture
缝 sew
缝 sewing
高分子 polymer
反省 introspection
反省 reflection
飞越 overflights
飞越 overflight
敲 knock
顶端 top
角落 corner
角落 corners
淋巴 lymphatic
狂热 craze
狂热 fanaticism
邮轮 cruises
邮轮 cruise
灯光 lights
灯光 light
玛利亚 maria
抗衡 counterbalance
太阳能 solar
储备 reserves
储备 reserve
反对派 opposition
藤本 fujimoto
舵 rudder
舵 helm
池塘 pond
讲话 speech
离任 outgoing
激发 inspire
激发 excitation
激发 stimulate
禁忌 taboos
禁忌 forbidden
禁忌 taboo
假说 hypotheses
假说 hypothesis
邪教 cult
醚 ether
醚 ethers
孢子 spores
孢子 spore
喷 spray
荣耀 glory
伪装 disguise
伪装 camouflage
伪装 disguises
鸠 dove
叛军 rebel
叛军 rebels
家园 homeland
波动 fluctuation
波动 volatile
波动 fluctuations
波动 volatility
层次 layers
层次 level
矽 silicon
绣 embroidery
绣 embroidered
闸门 floodgates
匹兹堡 pittsburgh
笨 stupid
少了 less
康复 healing
康复 rehabilitation
康复 recovery
大院 compound
沙洲 sandbar
布希 bush
庄园 manor
欺骗 cheat
欺骗 cheating
欺骗 deception
磁性 magnetic
磁性 magnetism
内政 interior
花朵 flowers
花朵 flower
造访 visiting
炸药 dynamite
炸药 explosive
炸药 explosives
皮革 leather
古人 ancients
徒弟 disciple
徒弟 apprentice
下限 floor
牛仔 cowboys
牛仔 cowboy
亲戚 relative
亲戚 relatives
勘探 prospecting
勘探 exploration
结晶 crystallization
微米 micron
椭圆形 oval
追查 tracing
疑虑 doubt
疑虑 doubts
公孙 gongsun
上学 school
路线图 roadmap
窑 kilns
窑 ware
窑 kiln
红十字会 icrc
乳房 breast
乳房 breasts
正宗 authentic
流血 bleeding
冻 freezing
诺亚 noah
下落 whereabouts
归属 attribution
感兴趣 interested
盐水 saline
盐水 saltwater
馆长 curator
偷偷 sneak
毫克 mg
毫克 milligrams
骨折 fracture
骨折 fractured
史学 historiography
泳池 pool
举例 examples
切除 excision
黏 sticky
灰姑娘 cinderella
牙买加 jamaica
主宰 dominate
迦太基 carthage
渡假 vacation
偏差 deviation
偏差 deviations
偏差 bias
阴影 shadows
阴影 shadow
阴影 shade
惊讶 surprised
鳄鱼 crocodile
鳢 snakehead
残骸 wreckage
残骸 wreck
几内亚 guinea
籽 seeds
付款 disbursement
付款 pay
付款 disbursements
付款 payments
付款 payment
白银 silver
水牛 buffalo
水牛 buffaloes
面部 facial
护航 escort
各部 ministries
共生 symbiotic
共生 symbiosis
厌恶 disgusted
厌恶 disgust
厌恶 aversion
孙子 grandchild
孙子 grandchildren
孙子 grandson
黑帮 gangster
黑帮 gangs
师父 master
瑞穗 mizuho
宝宝 baby
线索 clue
线索 clues
车库 garage
绿党 greens
无畏 fearless
损伤 injury
损伤 damage
缺口 gaps
缺口 gap
列举 enumeration
精华 essence
分流 diversion
分流 shunt
分流 triage
刮 scratch
蟒 python
发起人 initiators
发起人 initiator
≤ ≤
口语 spoken
力学 mechanics
工匠 craftsmen
工匠 artisans
工匠 craftsman
处罚 penalty
处罚 penalties
